row_num,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,planet_discovery_method,planet_orbital_inclination,planet_density,right_ascension,declination,host_temperature,host_mass,host_radius,gravities,gravities,Gravity,Gravity
1949,Kepler-1398 b,2587,0.666,13.66,2016,Terrestrial,0.9,Unknown,2.8 days,0,Kepler-1396,Transit,,,19h37m20.75s,+44d55m05.9s,6195,1.18,1.27,8.96448e-11,5.4842222222222225e-11
1956,Kepler-1402 b,2221,0.363,14.608,2016,Terrestrial,0.76,Unknown,2 days,0,Kepler-140,Transit,,,19h09m28.67s,+46d46m05.6s,6077,,1.29,7.759461399470312e-11,4.191845567867036e-11
1962,Kepler-1408 b,1390,0.64,11.962,2016,Terrestrial,0.89,Unknown,3 days,0,Kepler-1405,Transit,,,19h42m44.36s,+39d15m22.1s,5925,1.05,1.07,8.285714285714286e-11,5.389218533013508e-11
1968,Kepler-1412 b,2084,0.498,13.193,2016,Terrestrial,0.83,Unknown,3.6 days,0,Kepler-141,Transit,,,19h51m53.02s,+47d43m54.0s,4910,,0.79,8.993852865357923e-11,4.821686746987952e-11
1972,Kepler-1416 b,2632,0.615,14.226,2016,Terrestrial,0.88,Unknown,1.5 days,0,Kepler-1413,Transit,,,19h37m22.00s,+46d29m55.6s,5196,0.84,0.8,8.205581361590944e-11,5.297068698347108e-11
1973,Kepler-1417 b,2140,0.972,13.858,2016,Terrestrial,1.0,Unknown,20.4 days,0,Kepler-1414,Transit,,,18h59m42.86s,+42d25m20.3s,4951,0.8,0.75,8.770242214532873e-09,6.48324e-11
1976,Kepler-141 b,991,0.257,13.421,2014,Terrestrial,0.69,0.039 AU,3.1 days,0,Kepler-1417,Transit,,,19h23m47.97s,+40d36m18.8s,5839,1.02,1.02,8.8748779296875e-11,3.60048309178744e-11
1979,Kepler-1421 b,2202,0.749,12.726,2016,Terrestrial,0.93,Unknown,6.9 days,0,Kepler-142,Transit,,,19h40m28.54s,+48d28m52.6s,5790,,1.27,7.123531505873976e-11,5.776193779627702e-11
1983,Kepler-1425 b,1628,0.779,13.563,2016,Terrestrial,0.94,Unknown,14.5 days,0,Kepler-1421,Transit,,,19h06m19.34s,+48d32m39.1s,6335,1.25,1.42,7.55198347107438e-11,5.880409687641468e-11
1996,Kepler-1435 b,2221,0.566,12.869,2016,Terrestrial,0.86,Unknown,4.5 days,0,Kepler-1432,Transit,,,19h42m05.80s,+49d49m46.4s,6031,1.09,1.13,8.70664393414673e-11,5.10440778799351e-11
1999,Kepler-1438 b,2825,0.779,14.861,2016,Terrestrial,0.94,Unknown,2.3 days,0,Kepler-1435,Transit,,,19h24m41.59s,+44d55m16.1s,6356,1.21,1.32,9.220400216333154e-09,5.880409687641468e-11
2006,Kepler-1443 b,1549,0.871,12.212,2016,Terrestrial,0.97,Unknown,2.4 days,0,Kepler-1440,Transit,,,19h01m23.27s,+48d18m44.1s,5698,0.98,0.96,6.079427083333332e-11,6.174481879051971e-11
2008,Kepler-1445 b,1572,0.84,12.418,2016,Terrestrial,0.96,Unknown,10.6 days,0,Kepler-1442,Transit,,,19h25m01.34s,+48d50m49.1s,6394,1.34,1.44,8.700302619221539e-09,6.079427083333332e-11
2009,Kepler-1446 b,528,0.477,12.409,2016,Terrestrial,0.82,Unknown,0.7 days,0,Kepler-1443,Transit,,,18h53m44.58s,+47d04m00.7s,6289,1.19,1.27,8.285714285714286e-11,4.731692444973231e-11
2032,Kepler-1464 c,2257,0.972,14.13,2016,Terrestrial,1.0,Unknown,5.3 days,0,Kepler-1462,Transit,,,19h45m35.41s,+42d23m48.9s,5756,1,1,8.384349635796045e-11,6.48324e-11
2085,Kepler-1505 b,1171,0.749,12.926,2016,Terrestrial,0.93,Unknown,30.9 days,0,Kepler-150,Transit,90,,19h12m56.18s,+40d31m15.3s,5560,,0.94,4.915532879818595e-11,5.776193779627702e-11
2087,Kepler-1507 b,1116,0.52,13.104,2016,Terrestrial,0.84,Unknown,16.1 days,0,Kepler-1501,Transit,,,19h19m40.44s,+42d00m05.2s,6229,1.2,1.3,7.951380569758948e-11,4.915532879818595e-11
2113,Kepler-1525 b,1292,0.693,12.692,2016,Terrestrial,0.91,Unknown,2.4 days,0,Kepler-1522,Transit,,,19h19m22.37s,+52d04m12.6s,5706,0.96,0.93,8.542456370801276e-11,5.58182586644125e-11
2135,Kepler-1542 b,1096,0.363,12.588,2016,Terrestrial,0.76,Unknown,4 days,0,Kepler-154,Transit,,,19h19m07.33s,+49d53m47.5s,5690,,1,4.191845567867036e-11,4.191845567867036e-11
2136,Kepler-1542 c,1096,0.208,12.588,2016,Terrestrial,0.65,Unknown,2.9 days,0,Kepler-154,Transit,,,19h19m07.33s,+49d53m47.5s,5690,,1,8.883614507205792e-09,3.283692307692307e-11
2137,Kepler-1542 d,1096,0.59,12.588,2016,Terrestrial,0.87,Unknown,6 days,0,Kepler-154,Transit,,,19h19m07.33s,+49d53m47.5s,5690,,1,8.041724529731094e-11,5.1992337164750957e-11
2138,Kepler-1542 e,1096,0.363,12.588,2016,Terrestrial,0.76,Unknown,5.1 days,0,Kepler-154,Transit,,,19h19m07.33s,+49d53m47.5s,5690,,1,8.900070591071091e-09,4.191845567867036e-11
2143,Kepler-1547 b,2169,0.666,13.408,2016,Terrestrial,0.9,Unknown,0.7 days,0,Kepler-1542,Transit,,,19h02m54.84s,+42d39m16.3s,5564,0.94,0.99,9.366508185472011e-09,5.4842222222222225e-11
2159,Kepler-1558 b,1119,0.244,13.6,2016,Terrestrial,0.68,Unknown,3.5 days,0,Kepler-1555,Transit,,,19h10m32.51s,+45d42m57.8s,5866,1.04,1.06,9.421375e-09,3.519636678200692e-11
